dport,sport,protocol,flags,time bw prev packet,pkt_len,ttl,payload size,label
54053,443,tcp,SA,1713942201.5486794,0,63,248,dos
22067,53014,tcp,A,6.201852321624756,1,128,248,dos
53014,22067,tcp,A,0.43110013008117676,0,46,248,dos
443,53939,tcp,A,2.746556043624878,1,128,248,dos
53939,443,tcp,A,0.01960277557373047,0,63,248,dos
443,53947,tcp,A,0.5629186630249023,1,128,248,dos
53947,443,tcp,A,0.0033502578735351562,0,63,248,dos
443,53951,tcp,A,0.15522122383117676,1,128,248,dos
53951,443,tcp,A,0.006804466247558594,0,63,248,dos
443,53956,tcp,A,0.4231750965118408,1,128,248,dos
443,53948,tcp,A,0.0,1,128,248,dos
53948,443,tcp,A,0.00939178466796875,0,63,248,dos
53956,443,tcp,A,0.45989274978637695,0,63,248,dos
443,53940,tcp,A,0.0,1,128,248,dos
51698,443,tcp,PA,0.0,64,63,248,dos
53940,443,tcp,A,0.014669656753540039,0,63,248,dos
443,51698,tcp,PA,0.0,65,128,248,dos
443,51698,tcp,PA,0.005242109298706055,48,128,248,dos
51698,443,tcp,A,0.007599353790283203,6,63,248,dos
51698,443,tcp,PA,0.048216819763183594,39,63,248,dos
443,51698,tcp,A,0.0,0,128,248,dos
54053,443,tcp,SA,4.97754430770874,0,63,248,dos
443,53966,tcp,A,1.2053966522216797,1,128,248,dos
53966,443,tcp,A,0.07816362380981445,0,63,248,dos
443,53969,tcp,A,1.9676332473754883,1,128,248,dos
53969,443,tcp,A,0.0033354759216308594,0,63,248,dos
22067,53014,tcp,A,2.320422649383545,1,128,248,dos
53014,22067,tcp,A,0.014055967330932617,6,46,248,dos
22067,53014,tcp,A,0.47832608222961426,0,128,248,dos
53014,22067,tcp,A,0.003687143325805664,0,46,248,dos
443,49422,tcp,PA,1.7706823348999023,99,128,248,dos
49422,443,tcp,A,0.15575838088989258,6,63,248,dos
49422,443,tcp,PA,0.09129142761230469,169,63,248,dos
443,49422,tcp,A,0.04789924621582031,0,128,248,dos
53939,443,tcp,PA,0.058045148849487305,73,63,248,dos
443,53939,tcp,FA,0.006986141204833984,0,128,248,dos
53939,443,tcp,FA,0.18975162506103516,6,63,248,dos
443,53939,tcp,A,0.0,0,128,248,dos
53947,443,tcp,PA,0.4900319576263428,73,63,248,dos
443,53947,tcp,FA,0.0,0,128,248,dos
53947,443,tcp,FA,0.14335250854492188,6,63,248,dos
53951,443,tcp,PA,0.005717039108276367,73,63,248,dos
443,53947,tcp,A,0.0,0,128,248,dos
443,53951,tcp,FA,0.0042417049407958984,0,128,248,dos
53951,443,tcp,FA,0.2844226360321045,6,63,248,dos
53956,443,tcp,PA,0.023048877716064453,73,63,248,dos
443,53951,tcp,A,0.002572298049926758,0,128,248,dos
53948,443,tcp,PA,0.0,73,63,248,dos
443,53948,tcp,FA,0.005376338958740234,0,128,248,dos
53948,443,tcp,FA,0.0,6,63,248,dos
443,53948,tcp,A,0.023897647857666016,0,128,248,dos
443,53956,tcp,A,0.0023207664489746094,0,128,248,dos
443,53065,tcp,A,0.6225903034210205,1,128,248,dos
53940,443,tcp,PA,0.0038614273071289062,73,63,248,dos
53940,443,tcp,PA,0.004979848861694336,73,63,248,dos
443,53940,tcp,A,0.0042493343353271484,0,128,248,dos
443,53940,tcp,FA,0.001920461654663086,0,128,248,dos
53065,443,tcp,A,0.0,0,63,248,dos
53940,443,tcp,FA,0.0023720264434814453,6,63,248,dos
443,53940,tcp,A,2.070765256881714,0,128,248,dos
7680,60279,tcp,S,0.0015077590942382812,0,127,248,dos
7680,60279,tcp,S,1.0178122520446777,0,127,248,dos
443,53978,tcp,A,0.272036075592041,1,128,248,dos
53978,443,tcp,A,0.0030601024627685547,0,63,248,dos
53956,443,tcp,PA,0.9672906398773193,56,63,248,dos
53956,443,tcp,FA,0.7146434783935547,6,63,248,dos
443,53956,tcp,A,0.002022981643676758,0,128,248,dos
7680,60279,tcp,S,0.007284879684448242,0,127,248,dos
53966,443,tcp,PA,1.0985596179962158,73,63,248,dos
443,53966,tcp,FA,0.01357269287109375,0,128,248,dos
53966,443,tcp,FA,2.164146661758423,6,63,248,dos
443,53966,tcp,A,0.0,0,128,248,dos
53969,443,tcp,PA,0.004680633544921875,73,63,248,dos
443,53969,tcp,A,0.07286524772644043,0,128,248,dos
7680,60279,tcp,S,0.7164428234100342,0,127,248,dos
53014,22067,tcp,PA,0.06242513656616211,34,46,248,dos
22067,53014,tcp,A,0.0034859180450439453,0,128,248,dos
