dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
22,54788,6,S,1714158072.2823105,0,40,0,64,224,m
54788,22,6,SA,0.0008347034454345703,40,0,0,64,224,m
22,54788,6,A,0.0017504692077636719,0,32,0,64,224,m
22,54788,6,PA,0.0024797916412353516,0,64,32,64,224,m
54788,22,6,A,0.0025272369384765625,32,0,0,64,224,m
54788,22,6,PA,0.003487825393676758,73,0,41,64,224,m
22,54788,6,A,0.0055849552154541016,0,32,0,64,224,m
54788,22,6,PA,0.0006358623504638672,1144,0,1112,64,224,m
22,54788,6,PA,0.006997108459472656,0,1568,1536,64,224,m
54788,22,6,A,0.0007674694061279297,32,0,0,64,224,m
22,54788,6,A,0.04475665092468262,0,32,0,64,224,m
22,54788,6,PA,0.0815730094909668,0,1240,1208,64,224,m
54788,22,6,PA,0.010291814804077148,1596,0,1564,64,224,m
22,54788,6,A,0.002166748046875,0,32,0,64,224,m
22,54788,6,PA,0.06023263931274414,0,48,16,64,224,m
54788,22,6,A,0.04840517044067383,32,0,0,64,224,m
22,54788,6,PA,0.06303858757019043,0,76,44,64,224,m
54788,22,6,A,0.0007534027099609375,32,0,0,64,224,m
54788,22,6,PA,0.0008196830749511719,76,0,44,64,224,m
54788,22,6,PA,0.2148573398590088,76,0,44,64,224,m
22,54788,6,PA,0.022921085357666016,0,76,44,64,224,m
54788,22,6,A,0.0008080005645751953,44,0,0,64,224,m
22,54788,6,A,0.004513978958129883,0,32,0,64,224,m
22,54788,6,A,0.0006287097930908203,0,44,0,64,224,m
22,54788,6,PA,0.0007874965667724609,0,100,68,64,224,m
54788,22,6,A,0.0005574226379394531,32,0,0,64,224,m
54788,22,6,PA,0.007895231246948242,84,0,52,64,224,m
22,54788,6,A,0.06041693687438965,0,32,0,64,224,m
